Analysis,Model,ArtifactCondition,N_Epochs,N_Folds,Accuracy,Precision,Recall,F1,ROC-AUC
Classification,SVM,Raw,1047,5,0.8490926456542502,0.8702830188679245,0.7817796610169492,0.8236607142857143,0.9330047899778925
Classification,Logistic Regression,Raw,1047,5,0.8806112702960841,0.8763557483731019,0.8559322033898306,0.8660235798499464,0.9427929255711128
Classification,SVM,ICA_Cleaned,1047,5,0.8490926456542502,0.8685446009389671,0.7838983050847458,0.8240534521158129,0.9280195283714074
Classification,Logistic Regression,ICA_Cleaned,1047,5,0.8605539637058262,0.8574561403508771,0.8283898305084746,0.8426724137931034,0.926997052321297
