Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
1,1_0,Focus,-12.750874078884449,9,-0.008585801133371663
1,1_1,Focus,-12.709839783356966,9,-0.02087917452500375
1,1_10,Focus,-12.658299372826889,9,-0.04092641613155754
1,1_11,Focus,-12.729986797841168,9,0.019915017037969957
1,1_12,Focus,-12.705662335638863,9,-0.007843392004318637
1,1_13,Focus,-12.786534168733384,9,-0.0321545746892767
1,1_14,MW,-12.59467249734642,8,-0.038207870940393074
1,1_15,Focus,-12.74515816370845,9,0.006052259751272966
1,1_16,MW,-12.763332593097648,8,-0.030843573363754477
1,1_17,Focus,-12.817262652984477,9,0.021395895584452995
1,1_18,Focus,-12.775459818908617,9,-0.027435800560838802
1,1_19,Focus,-12.794069747960043,9,-0.03411661035293044
1,1_2,MW,-12.728378890335138,8,0.06636960106833638
1,1_20,Focus,-12.755613466301671,9,0.008733844553158863
1,1_21,Focus,-12.802626607712654,9,0.059866057560235476
1,1_22,Focus,-12.76217562917169,9,-0.0003793539221040942
1,1_23,Focus,-12.80792821910444,9,0.0006022570460213947
1,1_24,MW,-12.642682518590501,8,0.00920937655875457
1,1_25,Focus,-12.657668694555905,9,0.010108001198602543
1,1_26,Focus,-12.769604261945572,9,-0.017693045541285857
1,1_27,MW,-12.713893685453687,8,-0.01416152098870824
1,1_28,Focus,-12.781731653774644,9,0.005512383912648828
1,1_29,Focus,-12.593797947413268,9,-0.053481150776990685
1,1_3,Focus,-12.524110894647992,9,-0.00866434477214642
1,1_30,Focus,-12.613109930503104,9,0.0008708030059769205
1,1_31,Focus,-12.639081992498948,9,0.01704128101486234
1,1_32,Focus,-12.704236010962632,9,-0.014703840494508498
1,1_33,MW,-12.701377750864069,8,0.007411655814978981
1,1_34,Focus,-12.846763049695593,9,-0.0706911245593075
1,1_35,Focus,-12.777931151373435,9,-0.0021144909922785103
1,1_36,Focus,-12.745395529735454,9,-0.014015918872712892
1,1_37,Focus,-12.908943803669663,9,-0.013504639740916657
1,1_38,Focus,-12.902965025727767,9,-0.020708132896987818
1,1_39,Focus,-12.868260115834994,9,0.005652798349881421
1,1_4,Focus,-12.654425486491819,9,0.012184252145829199
1,1_5,MW,-12.808365443600875,8,0.0073771795671946205
1,1_6,Focus,-12.473677324349767,9,0.025025273309325934
1,1_7,Focus,-12.700534415129384,9,0.02035550640784269
1,1_8,MW,-12.65681146131006,8,-0.03508798898704616
1,1_9,MW,-12.658204017050611,8,-0.005670294441636641
10,10_0,Focus,-12.409641216796711,9,-0.041888969693878064
10,10_1,Focus,-12.51630088387936,9,-0.04243175942501121
10,10_10,Focus,-12.733493571696519,9,0.014431724444312795
10,10_11,Focus,-12.724684369235106,9,0.011959792221090814
10,10_12,Focus,-12.568906023581768,9,-0.019640148186215123
10,10_13,Focus,-12.525738137792292,9,-0.09410854354032631
10,10_14,MW,-12.534652746175418,8,0.01738947359226378
10,10_15,MW,-12.468518745619942,8,0.009363700164675184
10,10_16,Focus,-12.516275243878352,9,0.06336969516999202
10,10_17,MW,-12.602636691152593,8,0.001146835590451534
10,10_18,Focus,-12.777856214398888,9,0.02614590048955126
10,10_19,MW,-12.531584362618881,8,-0.09733502849910954
10,10_2,Focus,-12.529420163599767,9,-0.03653432664348903
10,10_20,Focus,-12.487224572042724,9,0.027029461341256267
10,10_21,Focus,-12.548536636268372,9,-0.06870989327677737
10,10_22,Focus,-12.59710142841533,9,-0.021390584685386696
10,10_23,Focus,-12.65210981765965,9,0.007132263001400287
10,10_24,Focus,-12.66984533254866,9,0.0055582648721057976
10,10_25,Focus,-12.670981428495402,9,0.02902315075339442
10,10_26,Focus,-12.598618889484875,9,0.010032067934042072
10,10_27,MW,-12.76552666938335,8,0.03920751506575107
10,10_28,Focus,-12.614703102374184,9,0.06328573239244414
10,10_29,Focus,-12.367142502823715,9,-0.029227211975532782
10,10_3,Focus,-12.486162801084838,9,0.07151638544919513
10,10_30,Focus,-12.225474031931599,9,0.01551917849175388
10,10_31,Focus,-12.285008113137593,9,-0.03092526211817261
10,10_32,Focus,-12.249279952216346,9,0.029017455739347758
10,10_33,Focus,-12.198893871293386,9,-0.013428726815587816
10,10_34,Focus,-12.25394257264623,9,-0.06916761509971041
10,10_35,Focus,-12.217531166233671,9,-0.022828947001671044
10,10_36,Focus,-12.26208114100306,9,-0.04012413808977284
10,10_37,Focus,-12.334190182405697,9,0.12297451010402187
10,10_38,Focus,-12.43729412091122,9,0.18343586009026555
10,10_39,Focus,-12.651923373321198,9,-0.033522974165322066
10,10_4,MW,-12.529161168077426,8,0.010128769569369821
10,10_5,MW,-12.552411436746326,8,0.05697527931231634
10,10_6,Focus,-12.536118872964117,9,-0.04101284937888662
10,10_7,Focus,-12.710793237097446,9,-0.009016656900731718
10,10_8,Focus,-12.451533122149536,9,-0.0394667491844852
