Analysis,Model,ArtifactCondition,N_Epochs,N_Groups,Accuracy,Precision,Recall,F1,ROC-AUC
Classification,SVM,Raw,1000,25,0.604,0.5446224256292906,0.5471264367816092,0.5458715596330275,0.6333007832367002
Classification,Logistic Regression,Raw,1000,25,0.584,0.5200845665961945,0.5655172413793104,0.5418502202643172,0.5935672871528839
Classification,SVM,ICA_Cleaned,1000,25,0.602,0.5408388520971302,0.5632183908045977,0.5518018018018018,0.6321961143322145
Classification,Logistic Regression,ICA_Cleaned,1000,25,0.58,0.5153374233128835,0.5793103448275863,0.5454545454545454,0.6031248092767776
