Condition,Accuracy,Precision,Recall,F1,ROC-AUC
Raw,0.6831666666666667,0.7050318102949682,0.46704980842911875,0.5618806176538373,0.7186337436001763
ICA-cleaned,0.6961666666666667,0.7318797878609311,0.47586206896551725,0.5767355467843046,0.7255887837792019
