Subject,Session,Epoch_ID,Epoch_Index,State,Channel,Theta_RP,Alpha_RP,Beta_RP
10,1,10_ses-1_MW_epoch_0000,0,F,FP1,0.11461937297495504,0.07830633816154273,0.1384868666514438
10,1,10_ses-1_MW_epoch_0000,0,F,FP2,0.09946102954849495,0.045691250889563405,0.08870661072882999
10,1,10_ses-1_MW_epoch_0000,0,F,F7,0.08529299473598283,0.060374026778838574,0.10987982589613195
10,1,10_ses-1_MW_epoch_0000,0,F,F3,0.12330514560307684,0.06755895341185957,0.09056418180690395
10,1,10_ses-1_MW_epoch_0000,0,F,Fz,0.08229040175044719,0.0710192898129215,0.0696018852471652
10,1,10_ses-1_MW_epoch_0000,0,F,F4,0.06174244441913325,0.06359604734773011,0.08920793777512434
10,1,10_ses-1_MW_epoch_0000,0,F,F8,0.10194918834609216,0.06982440810343396,0.13268037801774096
10,1,10_ses-1_MW_epoch_0000,0,F,T3,0.09351408472523849,0.07891781841509626,0.09994356595949493
10,1,10_ses-1_MW_epoch_0000,0,F,C3,0.13720970910234326,0.13385600863804512,0.1793993595968914
10,1,10_ses-1_MW_epoch_0000,0,F,Cz,0.21382445748380524,0.07583044287719631,0.18082068432049608
10,1,10_ses-1_MW_epoch_0000,0,F,C4,0.11189466704012167,0.04368726191562854,0.12691880615607648
10,1,10_ses-1_MW_epoch_0000,0,F,T4,0.09276291695820169,0.10259383882954702,0.11630171489065907
10,1,10_ses-1_MW_epoch_0000,0,F,T5,0.11355731413408811,0.07837979467059744,0.12913965522619897
10,1,10_ses-1_MW_epoch_0000,0,F,P3,0.08571415812701405,0.19141261291946607,0.18822963625678232
10,1,10_ses-1_MW_epoch_0000,0,F,Pz,0.09479797374368314,0.09991100027833419,0.14358236290352502
10,1,10_ses-1_MW_epoch_0000,0,F,P4,0.12444144447667124,0.04103416827599684,0.054672884246165857
10,1,10_ses-1_MW_epoch_0000,0,F,T6,0.07403577625304433,0.06307451899252554,0.08446027733090743
10,1,10_ses-1_MW_epoch_0000,0,F,O1,0.13926251989536942,0.04115091058818116,0.14329876492825971
10,1,10_ses-1_MW_epoch_0000,0,F,O2,0.12769406594561974,0.03379050461395481,0.05687397464727269
10,1,10_ses-1_MW_epoch_0001,1,F,FP1,0.10332385178504754,0.1704942361132391,0.2184512368939274
10,1,10_ses-1_MW_epoch_0001,1,F,FP2,0.13937697377644362,0.17061736382525833,0.18884854589946015
10,1,10_ses-1_MW_epoch_0001,1,F,F7,0.11461673859347284,0.07389405277203256,0.07362004181314595
10,1,10_ses-1_MW_epoch_0001,1,F,F3,0.11484151114111554,0.21761867534235546,0.13636715778966457
10,1,10_ses-1_MW_epoch_0001,1,F,Fz,0.15695174199408574,0.17958986487791534,0.17183359366744833
10,1,10_ses-1_MW_epoch_0001,1,F,F4,0.06162570153488722,0.04815898503189467,0.04123822338166264
10,1,10_ses-1_MW_epoch_0001,1,F,F8,0.12099995084952768,0.22844698000369204,0.22383846426154663
10,1,10_ses-1_MW_epoch_0001,1,F,T3,0.0794804244118925,0.24358901829194732,0.11399639760770244
10,1,10_ses-1_MW_epoch_0001,1,F,C3,0.055918967875842836,0.4928108024921849,0.14862137455025326
10,1,10_ses-1_MW_epoch_0001,1,F,Cz,0.21985441109406192,0.12869496156133567,0.12155194116330387
10,1,10_ses-1_MW_epoch_0001,1,F,C4,0.09313798235616914,0.05807545137452439,0.052421157091489985
10,1,10_ses-1_MW_epoch_0001,1,F,T4,0.11500103139036615,0.1889265271637806,0.09019213838438363
10,1,10_ses-1_MW_epoch_0001,1,F,T5,0.11892729024911512,0.12870943522418293,0.062920903171371
10,1,10_ses-1_MW_epoch_0001,1,F,P3,0.14242785661638063,0.30006904899962134,0.10231790595841543
10,1,10_ses-1_MW_epoch_0001,1,F,Pz,0.11847923936391015,0.381063822835012,0.12867413644054762
10,1,10_ses-1_MW_epoch_0001,1,F,P4,0.19853742535920776,0.1416126391058775,0.12302620734305711
10,1,10_ses-1_MW_epoch_0001,1,F,T6,0.048880504508044466,0.032526154482225754,0.03430660259341072
10,1,10_ses-1_MW_epoch_0001,1,F,O1,0.1435405505532725,0.028960090348101243,0.06480286640142767
10,1,10_ses-1_MW_epoch_0001,1,F,O2,0.09390130281072552,0.047849192321130274,0.0633921961729994
10,1,10_ses-1_MW_epoch_0002,2,F,FP1,0.17250992080411431,0.12976455301244538,0.07483576060311398
10,1,10_ses-1_MW_epoch_0002,2,F,FP2,0.1627722016188751,0.12633282953045502,0.09370489623542655
10,1,10_ses-1_MW_epoch_0002,2,F,F7,0.17346771326465432,0.17247584986798997,0.09594151725665234
10,1,10_ses-1_MW_epoch_0002,2,F,F3,0.18449937698211408,0.050486108950630944,0.09727535917183158
10,1,10_ses-1_MW_epoch_0002,2,F,Fz,0.22362622548952493,0.08706717714404678,0.0546669557963763
