Analysis,Model,ArtifactCondition,N_Epochs,N_Folds,Accuracy,Precision,Recall,F1,ROC-AUC
Classification,SVM,Raw,1000,5,0.683,0.6520618556701031,0.5816091954022988,0.6148238153098421,0.7219204557013529
Classification,Logistic Regression,Raw,1000,5,0.632,0.572354211663067,0.6091954022988506,0.5902004454342984,0.6560756789746721
Classification,SVM,ICA_Cleaned,1000,5,0.68,0.6584022038567493,0.5494252873563218,0.5989974937343359,0.7209561590885973
Classification,Logistic Regression,ICA_Cleaned,1000,5,0.611,0.5502183406113537,0.5793103448275863,0.5643896976483762,0.6565313803275353
