Condition,Metric,Score
ICA-cleaned,Accuracy,0.7110655737704918
Raw,Accuracy,0.742827868852459
ICA-cleaned,Precision,0.7511415525114156
Raw,Precision,0.8078602620087336
ICA-cleaned,Recall,0.41964285714285715
Raw,Recall,0.4719387755102041
ICA-cleaned,F1,0.5384615384615384
Raw,F1,0.5958132045088567
ICA-cleaned,ROC-AUC,0.7521666200726866
Raw,ROC-AUC,0.7761288483715404
