Feature,Importance
Beta_abs__C3,0.004457066429436828
Alpha_mean_env__PO4,0.004390824090378026
Gamma_abs__FC1,0.0038545498071495482
Alpha_mean_env__O2,0.003572219036261592
Alpha_mean_env__PO3,0.0034520278285932503
Alpha_mean_env__CP1,0.0032336974623211126
Beta_abs__CP3,0.0032072821155334054
Alpha_abs__O2,0.0031338833488504386
Gamma_abs__Fz,0.003062589550763845
Gamma_abs__F1,0.0028136183117501326
Alpha_mean_env__POz,0.002768809531821016
Alpha_abs__PO4,0.0027440929419598986
Alpha_abs__CP1,0.002725902476786047
Alpha_mean_env__P8,0.0027257899850765036
Alpha_mean_env__Pz,0.0027194066261444537
Alpha_abs__PO3,0.002574392068597589
Alpha_abs__P6,0.0025307296066441206
Alpha_mean_env__CP6,0.0025036331864905013
Alpha_var_env__PO4,0.0024939660860261816
Gamma_abs__AFz,0.0024853124064893165
Alpha_mean_env__PO8,0.0024404191425279192
Alpha_mean_env__CPz,0.002368011082178888
Beta_abs__C1,0.002350509203678736
Gamma_abs__FCz,0.002348674806880008
Alpha_abs__P1,0.002308378274433469
Alpha_mean_env__P1,0.002203020451436234
Alpha_mean_env__TP8,0.0021668417724749773
Alpha_var_env__PO3,0.002155127562960005
Alpha_mean_env__P6,0.0021403085620838487
Alpha_abs__P8,0.002120220877220399
Alpha_abs__CPz,0.0020391209676772154
Alpha_abs__P4,0.00202606180797197
Alpha_var_env__PO8,0.0020153461687865124
Alpha_var_env__POz,0.0020138676283185586
Alpha_var_env__CP1,0.002005396998559241
Alpha_mean_env__P4,0.001972601099625289
Alpha_abs__POz,0.0019529910646961916
Alpha_abs__P5,0.0019469565913211037
Gamma_abs__C1,0.0019145600715487958
Alpha_abs__CP6,0.0019004694628552048
Alpha_mean_env__P3,0.0018898257940769532
Beta_abs__FC1,0.0018891742743388574
Alpha_mean_env__CP4,0.0018847779910046091
Alpha_sync__C3,0.001859832495030148
Alpha_mean_env__C4,0.0018552730092883955
Alpha_abs__P3,0.0018471749349345723
Alpha_abs__PO8,0.0018447718411277413
Alpha_mean_env__Oz,0.001819911637437243
Beta_abs__AF8,0.0017670572726677964
Alpha_abs__CP4,0.0017469435453830193
Gamma_abs__AF3,0.0017253214069568666
Alpha_var_env__TP8,0.0016840427162443095
Alpha_abs__TP8,0.0016728361626548811
Alpha_abs__Pz,0.0016681984316170143
Alpha_mean_env__C2,0.0016564255827681777
Alpha_mean_env__P5,0.0016448793077452305
Gamma_abs__C3,0.0016436568932211397
Beta_abs__FC3,0.0016390909048073661
Beta_abs__Fz,0.0016390570610743892
Gamma_abs__PO3,0.0016104413199190693
Alpha_mean_env__FT8,0.0016094470028939394
Alpha_sync__CP4,0.0015991908484644178
Alpha_mean_env__C6,0.0015835073466547223
Alpha_sync__F1,0.0015790246626449646
Alpha_mean_env__TP7,0.0015721415980034848
Alpha_mean_env__FCz,0.0015601621193053268
Alpha_mean_env__O1,0.0015597512633048981
Gamma_abs__FC2,0.001535099718766413
Gamma_abs__Fp1,0.0015337428138418592
Beta_abs__PO8,0.0015290491774870767
Beta_abs__Cz,0.0015244166515809938
Gamma_abs__Cz,0.0015152295804781136
Gamma_abs__FC3,0.0015152288562664705
Alpha_mean_env__P2,0.0015115992403253982
Alpha_var_env__P3,0.0015071486517199098
Alpha_sync__PO3,0.0014942052408296834
Alpha_var_env__Pz,0.001494169609585807
Alpha_mean_env__T8,0.001486424170200582
Alpha_abs__C4,0.0014850905663885126
Theta_mean_env__PO4,0.0014717511884855961
Alpha_sync__CP3,0.0014668246909191622
Alpha_var_env__P1,0.0014605061958327028
Alpha_mean_env__P7,0.001444983010995003
Gamma_abs__C6,0.0014362185206868538
Gamma_abs__F2,0.0014231719208065597
Beta_abs__F8,0.0014170806368364406
Alpha_sync__Fz,0.0014036227579403992
Gamma_abs__F4,0.0013948128451848436
Alpha_sync__C6,0.0013887891580393994
Alpha_sync__CP6,0.0013872538605525832
Beta_abs__FC6,0.001381699913662092
Beta_abs__Fpz,0.0013810811799782263
Alpha_mean_env__Cz,0.0013793728812190298
Alpha_mean_env__CP2,0.0013697852703943494
Alpha_sync__C5,0.0013696158680364873
Alpha_abs__Cz,0.0013656961450669062
Beta_abs__C5,0.0013612676680147175
Alpha_sync__F2,0.001356322951380323
Alpha_var_env__P6,0.0013563214412939191
Beta_abs__FCz,0.0013514564912870067
Alpha_mean_env__FC2,0.0013511680572398954
Alpha_var_env__P5,0.0013486132655884664
Alpha_abs__C6,0.0013469596600761001
Alpha_var_env__CP2,0.001346550097384204
Beta_abs__AF3,0.0013410802105581954
Alpha_abs__T8,0.0013400570879768066
Alpha_mean_env__FC3,0.0013331419087513154
Alpha_sync__Fpz,0.0013314545614672888
Alpha_abs__O1,0.0013276856751629064
Beta_abs__F6,0.00132554456668567
Alpha_var_env__CP6,0.0013255005147186113
Alpha_mean_env__FC1,0.0013187167119034506
Alpha_mean_env__Iz,0.001315756965820395
Theta_mean_env__TP8,0.0013138538665283916
Beta_abs__FC2,0.0013137181232074104
Alpha_var_env__P8,0.00131022080007247
Alpha_abs__FCz,0.001308728329748387
Alpha_var_env__O2,0.0013045599580651494
Alpha_abs__FC6,0.001300866851189348
Beta_abs__Fp1,0.0012999715337043579
Alpha_var_env__T8,0.0012954126208965793
Alpha_mean_env__CP5,0.001295388292823695
Alpha_var_env__CPz,0.0012820703645559366
Alpha_sync__AF3,0.0012800207644267404
Gamma_abs__C4,0.0012781210958009057
Alpha_sync__C1,0.0012753842346310523
Alpha_var_env__FC6,0.001274662847298226
Beta_abs__PO3,0.0012726121941596957
Gamma_abs__P7,0.0012699317917329942
Gamma_abs__C2,0.0012679567725876217
Beta_abs__P3,0.0012643555398290653
Gamma_abs__AF8,0.0012638479815779847
Gamma_abs__Pz,0.0012524668792947373
Theta_mean_env__T8,0.0012493745747039805
Alpha_mean_env__P10,0.0012461747418107986
Alpha_abs__C1,0.001242752044633007
Alpha_sync__PO7,0.0012419561209516367
Beta_abs__CP1,0.001240239186732396
Alpha_var_env__C4,0.0012360379171408766
Alpha_sync__FC2,0.0012346616436181741
Beta_abs__AFz,0.0012255964380245854
Alpha_sync__AF8,0.0012234339138090795
Alpha_sync__FC5,0.0012213999680856535
Alpha_mean_env__PO7,0.0012209884430879185
Theta_abs__O2,0.0012208795609300728
Alpha_var_env__P4,0.0012160312167244097
Alpha_sync__FC3,0.0012146888244644629
Alpha_sync__F4,0.0012145756132967626
Gamma_abs__Fp2,0.001202202686753206
Alpha_mean_env__P9,0.0011985242750607325
Alpha_mean_env__FC6,0.0011980925918555116
Theta_abs__PO4,0.0011966125072503035
Beta_abs__F1,0.001195347083039629
Alpha_abs__CP2,0.0011951847528823493
Alpha_var_env__P10,0.0011944067832436933
Alpha_var_env__O1,0.0011939993016785659
Beta_abs__C4,0.001188246359436065
Beta_abs__PO4,0.0011880172724201314
Alpha_sync__FCz,0.001177436597405258
Theta_mean_env__P6,0.0011729482194421184
Theta_abs__FC6,0.001169985441875356
Beta_abs__F3,0.0011633979678663284
Theta_abs__P6,0.0011612065801850937
Alpha_sync__F7,0.001153926725697095
Alpha_mean_env__C1,0.0011537672566359657
Alpha_rel__O2,0.001147581294465675
Theta_mean_env__O2,0.001147374656060656
Alpha_abs__Iz,0.0011443751145541043
Alpha_sync__F5,0.0011423395128538042
Beta_abs__CP4,0.001141870962713938
Gamma_abs__CP4,0.001137968412995323
Alpha_var_env__CP4,0.0011375392432905202
Alpha_mean_env__CP3,0.0011322434009797225
Beta_abs__P4,0.0011304556487381674
Gamma_abs__Fpz,0.0011260335345821145
Alpha_mean_env__Fz,0.0011224370063864114
Beta_abs__P8,0.0011204988158376654
Alpha_sync__Fp2,0.0011172260818002112
Gamma_abs__FC4,0.0011159862001584807
Gamma_abs__AF4,0.0011136849730913078
Theta_mean_env__PO8,0.0011083256942751333
Alpha_sync__P6,0.001106483293244896
Alpha_abs__P2,0.0011063961483377125
Beta_abs__CP5,0.001105949038651332
Theta_abs__CP4,0.0011043470132000544
Alpha_abs__CP3,0.0011041703127049021
Gamma_abs__P4,0.001100390362960493
Alpha_sync__FC6,0.001093630771444227
Beta_abs__F4,0.0010932987091797459
Alpha_abs__P7,0.0010928069433041318
Beta_abs__FC5,0.0010911001659992606
Delta_rel__PO3,0.0010902397300618155
Alpha_mean_env__F7,0.001090084393241009
Theta_abs__P9,0.0010871907450265505
Alpha_abs__FC1,0.0010823874171211412
Alpha_mean_env__T7,0.0010813403068640132
Alpha_var_env__P2,0.0010812674121245625
Gamma_abs__FC5,0.0010792546858404673
Gamma_abs__FT8,0.0010792110559543452
Alpha_mean_env__FC4,0.0010786451850869632
Alpha_sync__Fp1,0.0010770944896868631
Alpha_mean_env__F1,0.0010754451077762076
Alpha_var_env__C6,0.0010731558833475543
Beta_abs__AF4,0.001072955687817777
Beta_abs__CP2,0.001069569616875837
Beta_abs__P2,0.0010681409024207846
Alpha_sync__P4,0.0010605810041021948
Theta_bursts__FC6,0.001059605680889219
Alpha_sync__P1,0.0010566967757306158
Beta_abs__Fp2,0.0010549209761046272
Gamma_abs__P2,0.0010507062763074819
Alpha_sync__AF4,0.0010483250770626875
Alpha_sync__C2,0.0010480393810428654
Theta_mean_env__FC6,0.0010453379611855681
Alpha_abs__P9,0.0010442351813291794
Theta_mean_env__FT8,0.0010364724637298218
Gamma_abs__POz,0.0010339016718525001
Theta_rel__CP2,0.0010335484175430845
Beta_abs__O2,0.0010322887764091953
Theta_abs__TP8,0.0010321856093974864
Alpha_mean_env__F3,0.0010290251345494255
Theta_mean_env__CP6,0.0010234983921050557
Alpha_mean_env__AF4,0.0010231521554016668
Gamma_abs__C5,0.0010217376368705613
Alpha_sync__FC1,0.0010207035229359892
Alpha_abs__CP5,0.0010174715681641568
Alpha_var_env__FT8,0.0010139219762206736
Alpha_abs__F2,0.0010135027935317862
Alpha_abs__Oz,0.0010107270201076676
Alpha_sync__FC4,0.001008110402033916
Alpha_mean_env__C3,0.0010078147328131822
Alpha_sync__P2,0.0010072174871419471
Beta_abs__C2,0.0010068401921610925
Alpha_sync__F6,0.0010066759740760566
Alpha_abs__Fz,0.0010042162212455456
Beta_abs__F2,0.0010031878381888972
Theta_mean_env__P10,0.0009997623605191856
Beta_abs__P7,0.000998302522867989
Beta_abs__P1,0.0009982330363927404
Theta_abs__PO8,0.0009949793346741723
Alpha_sync__C4,0.0009949592213235753
