Feature,Importance
Beta_abs__C3,0.009521669465013252
Alpha_mean_env__O1,0.004457853649506974
Alpha_mean_env__Pz,0.004274123996713179
Beta_abs__C5,0.0040743957203284165
Alpha_mean_env__PO3,0.004055586557453508
Alpha_mean_env__CPz,0.0037482743591698725
Alpha_mean_env__POz,0.003694935620267855
Alpha_var_env__CPz,0.003377774903397762
Alpha_mean_env__P1,0.0033292029824085736
Alpha_abs__CPz,0.0033058221597663767
Alpha_abs__P1,0.003192363667427386
Beta_abs__FC3,0.0031729042653521936
Beta_rel__POz,0.0031039258575669237
Beta_abs__C1,0.0030933932065502255
Alpha_mean_env__Oz,0.0030622234532129105
Alpha_abs__PO3,0.0029848235306037477
Alpha_abs__O2,0.0029579314351831894
Beta_abs__CP3,0.002921615900066372
Alpha_var_env__O1,0.002858117079826677
Alpha_abs__C3,0.002848375953519711
Alpha_mean_env__C3,0.0027648003834341538
Alpha_abs__POz,0.0026627607683652765
Alpha_abs__O1,0.002566577005040916
Alpha_mean_env__O2,0.0025376716106271487
Beta_rel__O1,0.0025353868085604067
Beta_rel__PO3,0.0025304411854913758
Alpha_var_env__Oz,0.0024388270729224773
Alpha_mean_env__CP1,0.0024327235781446683
Alpha_var_env__POz,0.0023809010807120013
Alpha_mean_env__P2,0.0023616078133623275
Alpha_mean_env__PO4,0.0022875014589217864
Alpha_var_env__PO3,0.002255507374505437
Alpha_abs__Oz,0.0021715528602396037
Beta_abs__FC1,0.0021537116736222947
Alpha_abs__Pz,0.0021480142103074353
Beta_abs__CP5,0.002139460951741171
Alpha_var_env__C3,0.002115410671672356
Alpha_var_env__Pz,0.0021080810341403276
Alpha_mean_env__CP2,0.002048140267075447
Alpha_mean_env__C5,0.0020386657227551576
Alpha_var_env__P1,0.0020044893904200864
Alpha_mean_env__FT8,0.0019935217195860802
Alpha_mean_env__Iz,0.001967670879002123
Gamma_abs__C3,0.0019482297805295844
Alpha_mean_env__F8,0.0019092077627868224
Gamma_abs__CP1,0.0018940901755687197
Beta_rel__PO7,0.001882940771741736
Alpha_abs__P2,0.0018695814490376644
Alpha_abs__C5,0.0018629740422918984
Beta_rel__Oz,0.0018547127675939716
Gamma_abs__CP3,0.0018351141835044205
Beta_abs__FC5,0.0018314335207405236
Alpha_mean_env__P7,0.0018312094928039254
Alpha_var_env__PO4,0.0018130987740151193
Gamma_abs__C1,0.0017984038937399896
Alpha_var_env__O2,0.0017847119793523198
Alpha_mean_env__FC6,0.001778233655518118
Beta_rel__Pz,0.0017622095154956076
Beta_abs__FC2,0.0017574365708211332
Alpha_mean_env__Cz,0.00174723493241267
Beta_rel__P1,0.0017428470223304886
Alpha_mean_env__PO7,0.0017144011963283097
Beta_abs__AFz,0.001712099601529315
Beta_rel__C4,0.0017009283194373646
Alpha_abs__PO7,0.0016870093138866625
Beta_rel__C3,0.0016754879307326496
Beta_abs__FCz,0.0016669381591623027
Alpha_mean_env__FC4,0.0016360185157110669
Theta_mean_env__CPz,0.0016249821460264473
Alpha_var_env__C5,0.0016164242379119102
Alpha_mean_env__C2,0.0016075122615890661
Alpha_mean_env__P3,0.0016039695250309046
Alpha_abs__CP1,0.001598605530353868
Beta_rel__P5,0.0015969523749626456
Alpha_mean_env__P5,0.0015860002873455334
Theta_mean_env__CP1,0.0015812618063170876
Alpha_var_env__PO7,0.0015723242387689787
Gamma_abs__C5,0.0015634177815721283
Beta_rel__C2,0.0015532880329389418
Alpha_abs__Cz,0.0015456880828535816
Beta_abs__Fz,0.001522945656447129
Beta_rel__CPz,0.001510507640223183
Gamma_abs__AF8,0.0015093512910431225
Gamma_abs__TP8,0.0015034294705443918
Beta_abs__CP1,0.0014907047964025253
Alpha_var_env__P2,0.0014815964553445099
Alpha_mean_env__CP3,0.0014737311901565498
Alpha_abs__P9,0.0014639037304838458
Beta_rel__P3,0.0014588449263625912
Alpha_mean_env__AF4,0.0014513958902976848
Alpha_abs__F8,0.00144896937793843
Alpha_abs__CP2,0.001439434945359959
Alpha_abs__FC6,0.0014266057024040681
Alpha_mean_env__F6,0.0014235414432761852
Alpha_mean_env__P9,0.0014144924533848065
Alpha_mean_env__CP5,0.001409251716431238
Alpha_abs__CP3,0.0014060873861654977
Alpha_abs__PO4,0.0013997146143140725
Alpha_var_env__CP1,0.0013992249796896399
Beta_rel__C1,0.0013948763374509268
Beta_abs__F2,0.0013941632134302523
Alpha_mean_env__C4,0.0013771176234330306
Theta_mean_env__PO8,0.0013761672745365926
Alpha_var_env__Iz,0.0013761230454640036
Gamma_abs__FC1,0.00134171834365964
Gamma_abs__FCz,0.0013258958105119675
Beta_rel__CP1,0.0013221285758020249
Alpha_mean_env__T8,0.0013094825328097365
Alpha_abs__Iz,0.0013024176285383541
Alpha_var_env__F6,0.0012881696078083475
Gamma_abs__Fz,0.0012700243199582743
Alpha_mean_env__FC2,0.0012683383341683817
Beta_abs__Fpz,0.001268107074620098
Alpha_abs__CP5,0.0012662163812728463
Theta_abs__CPz,0.0012540585534680433
Alpha_mean_env__P10,0.001253636270820306
Alpha_abs__C2,0.0012520209784417633
Alpha_abs__FC4,0.00124231373723
Alpha_mean_env__F1,0.0012387171790444959
Gamma_abs__CP5,0.001227249336275699
Gamma_abs__FC2,0.0012264559154169202
Alpha_abs__FT8,0.0012252502797942455
Alpha_abs__P7,0.0012175526932120754
Gamma_abs__C4,0.0012174746660240487
Gamma_abs__C6,0.001212679181696078
Theta_mean_env__Pz,0.001208960915293842
Gamma_abs__FC6,0.0012046599660599012
Alpha_var_env__CP2,0.00120323061722214
Alpha_abs__T8,0.001201048108216162
Gamma_abs__FT8,0.0011987056202535631
Gamma_abs__AFz,0.0011934805081380943
Beta_rel__P7,0.0011890557191700697
Beta_abs__F1,0.001181240653308059
Gamma_abs__TP7,0.0011705544026449457
Gamma_abs__FC4,0.0011601055064511087
Beta_abs__Fp2,0.0011572543334715168
Gamma_abs__O2,0.0011545552943356037
Alpha_mean_env__F7,0.0011420080484227824
Gamma_abs__F1,0.0011373920849422937
Theta_mean_env__P1,0.0011321543186779948
Beta_abs__CP4,0.0011283705004736804
Gamma_abs__F8,0.0011265361646031016
Alpha_abs__F6,0.0011163032717655288
Alpha_var_env__P3,0.001108025870862391
Theta_abs__PO8,0.0011045820370919595
Theta_mean_env__PO7,0.001102440155763699
Beta_abs__AF3,0.0011011727934630458
Gamma_abs__Oz,0.0011002561413834065
Alpha_var_env__FC6,0.0010944095170753346
Alpha_mean_env__F2,0.0010941849658166775
Beta_abs__C4,0.0010912021879984407
Gamma_abs__Iz,0.0010911081924554842
Theta_mean_env__F2,0.0010897971425453976
Alpha_var_env__P5,0.0010875517541349277
Theta_abs__CP1,0.0010841546723452515
Beta_rel__FC6,0.0010802310350980658
Theta_abs__Fz,0.001079092576394921
Alpha_mean_env__Fz,0.0010765777924733621
Gamma_abs__T8,0.0010763467789409163
Alpha_abs__C4,0.0010748488167702489
Gamma_abs__P1,0.0010733232027777709
Gamma_abs__Fp1,0.0010727171490369839
Alpha_var_env__P7,0.0010719567681499438
Alpha_abs__F5,0.0010666898165397427
Alpha_abs__F1,0.0010666065208709307
Alpha_mean_env__AF3,0.001063935392875038
Beta_abs__P3,0.0010636125690748587
Alpha_abs__P5,0.0010635962150723117
Theta_mean_env__Cz,0.001060798924498986
Theta_abs__Cz,0.001053059908579627
Beta_abs__Cz,0.001052970653269368
Theta_var_env__CPz,0.0010523446025017171
Beta_abs__CPz,0.0010490136405544932
Gamma_abs__P4,0.0010479048064797934
Gamma_abs__AF3,0.0010407819368152482
Beta_abs__CP2,0.0010386499599302887
Beta_abs__FC4,0.001038646277166522
Theta_abs__Pz,0.0010353438798978284
Theta_mean_env__PO3,0.0010347827745890764
Alpha_mean_env__FT7,0.0010346284187769978
Beta_rel__CP3,0.0010345342964492655
Gamma_abs__FC3,0.0010340656654409515
Beta_abs__C2,0.0010335177426268952
Beta_rel__P2,0.0010305286325952452
Theta_mean_env__P7,0.0010293030785624715
Gamma_abs__F6,0.001027275722145589
Alpha_var_env__CP3,0.0010221448647879392
Theta_var_env__AF7,0.0010211138250499413
Beta_abs__AF8,0.001019180997611964
Alpha_var_env__FT8,0.0010128424571814643
Beta_rel__FC3,0.001010948346347451
Alpha_mean_env__AFz,0.0010069144262962373
Alpha_var_env__FC4,0.001005915764765571
Theta_mean_env__Fz,0.0010037614018021316
Alpha_mean_env__TP7,0.0010025653883450401
Beta_abs__PO3,0.0010011852192336815
Beta_abs__Fp1,0.0009993057449664078
Theta_mean_env__F1,0.0009979670275205845
Gamma_abs__F7,0.0009976593456001153
Alpha_abs__FC2,0.0009968238821476388
Alpha_mean_env__C1,0.0009967640545208158
Theta_var_env__CP1,0.0009865108599210728
Alpha_abs__Fz,0.0009850322762375958
Alpha_abs__F2,0.0009845449466715046
Theta_abs__F1,0.0009844789366937044
Beta_rel__CP2,0.000982178833613317
Gamma_abs__P5,0.0009803142065056291
Alpha_mean_env__P8,0.0009790077813861989
Beta_abs__F4,0.0009765486493377752
Theta_mean_env__FT8,0.000973872682519774
Alpha_var_env__F8,0.0009730125426614231
Theta_abs__PO7,0.0009682097010784478
Alpha_mean_env__PO8,0.0009671965008989841
Beta_abs__P5,0.0009666883061213078
Alpha_mean_env__F5,0.000965753815596436
Alpha_sync__POz,0.0009581053891136083
Gamma_abs__P8,0.0009565328664228371
Gamma_abs__P6,0.0009558647467389308
Beta_rel__O2,0.0009545004845407981
Beta_abs__F3,0.0009542066411181218
Beta_abs__PO4,0.0009537950523474728
Alpha_abs__AF4,0.000953100313477145
Alpha_var_env__AFz,0.0009530362925730223
Alpha_mean_env__F3,0.0009528310820605724
Gamma_abs__P3,0.0009505496388854875
Beta_abs__F5,0.0009485774391039304
Beta_rel__FC4,0.0009471240340437876
Beta_rel__F8,0.0009462535494985194
Gamma_abs__PO3,0.0009459465501905759
Theta_mean_env__POz,0.000945594964871636
Beta_abs__PO8,0.0009455266941214832
Gamma_abs__P7,0.0009432507947199801
Gamma_abs__FC5,0.0009408836515504269
Alpha_mean_env__FCz,0.0009400698105578935
Alpha_mean_env__C6,0.0009375951153507472
Beta_abs__P4,0.0009374725929051516
Theta_mean_env__P5,0.0009361677185210631
Beta_abs__AF4,0.0009325558717300797
Alpha_abs__P3,0.0009324224399014944
Theta_abs__P1,0.0009285636925011254
Gamma_abs__AF4,0.0009282813445209916
Theta_mean_env__F8,0.0009255504599746281
Gamma_abs__FT7,0.0009246716043241956
Beta_rel__FT8,0.0009240702500261679
Alpha_abs__AFz,0.0009226498259613576
Alpha_abs__F7,0.0009191321510631438
Alpha_mean_env__Fpz,0.0009168865960443162
Theta_mean_env__AF7,0.0009166357544564866
Alpha_mean_env__FC3,0.0009163250845623939
Beta_abs__P1,0.0009160091796017426
Alpha_var_env__Cz,0.0009141724600222793
Theta_abs__AF7,0.0009111041190339006
Theta_mean_env__C1,0.0009086882075001337
Beta_rel__Iz,0.0009076353199877363
Gamma_abs__F3,0.0009051985760954537
Theta_mean_env__PO4,0.0009050446848822876
Beta_abs__FC6,0.0009042530049328017
Gamma_abs__PO4,0.0009042445251400383
Theta_cv_env__AF8,0.0009015928195147592
Alpha_mean_env__F4,0.0009014873582588937
Theta_var_env__Fp2,0.0008949569105613337
Theta_mean_env__T8,0.0008941666192110452
Theta_abs__PO3,0.0008924070585474171
Alpha_var_env__CP5,0.0008922327289472805
Beta_rel__FC1,0.0008900925488369233
Beta_abs__POz,0.0008890520798141038
Gamma_abs__CP4,0.0008862852295975456
Theta_var_env__PO3,0.0008861292579118295
Beta_rel__P9,0.0008832546024225801
Beta_rel__FC2,0.0008823406886048449
Alpha_mean_env__T7,0.0008817986530228951
Beta_rel__Cz,0.0008805859879631149
Gamma_abs__PO7,0.0008788218456824004
Theta_mean_env__P8,0.0008776594171591401
Gamma_abs__Cz,0.0008755213445914403
Theta_var_env__Fp1,0.0008751159729658721
Gamma_abs__Fp2,0.0008736256441175647
Gamma_abs__PO8,0.0008733645942201599
Gamma_abs__Pz,0.0008729887683878107
Gamma_abs__T7,0.0008725980852846512
Alpha_sync__F6,0.0008715621581426441
Alpha_sync__PO3,0.0008697272070109997
Gamma_abs__C2,0.0008667974485231853
Theta_abs__F2,0.0008655992484599712
Beta_rel__FCz,0.0008634635006532006
Theta_mean_env__P2,0.0008625894385225269
Alpha_abs__C1,0.0008618566617309098
Alpha_var_env__F4,0.0008576610429779634
Alpha_var_env__C4,0.0008561704737610911
Delta_rel__Fp2,0.0008548429779094902
Theta_mean_env__Fp2,0.0008546898168025071
Theta_var_env__AF8,0.0008541980765202873
Gamma_abs__F4,0.0008532746652704163
Gamma_abs__P9,0.0008484151327097167
Alpha_abs__AF8,0.000847766933505409
Theta_mean_env__CP3,0.0008475179185143991
Alpha_mean_env__CP6,0.0008464397680775845
Theta_mean_env__FC6,0.0008459494501295575
Beta_abs__TP7,0.000845729643440817
Beta_abs__P6,0.000844898106301899
Gamma_abs__P10,0.0008440731782870304
Alpha_mean_env__P4,0.0008413126314584426
Alpha_var_env__PO8,0.0008396849278115738
Delta_abs__Fpz,0.0008386627219998505
Alpha_mean_env__AF8,0.0008382086221988015
Beta_abs__P2,0.0008379756384346819
Gamma_abs__AF7,0.0008351137019139145
Gamma_abs__CP6,0.0008341582254828505
Beta_abs__F7,0.0008337743521614584
Alpha_var_env__P9,0.0008323741251722055
Theta_cv_env__AF7,0.0008266995878770319
Theta_var_env__Fpz,0.0008266932047393583
Theta_mean_env__TP8,0.0008261120528036533
Alpha_var_env__FCz,0.0008235145954811661
Theta_abs__P6,0.0008222427536433214
Alpha_var_env__C1,0.0008217330192053263
Beta_rel__PO4,0.0008160357060247351
Beta_abs__PO7,0.0008126779342527435
Alpha_sync__F2,0.0008122092534651856
Alpha_abs__P10,0.00081081875780039
Theta_var_env__PO7,0.0008107524631651388
Beta_rel__F4,0.0008072063046829524
Gamma_abs__P2,0.0008068561205549442
Theta_abs__Fp1,0.000806781032902065
Theta_mean_env__O1,0.0008055325582057207
Theta_cv_env__Fpz,0.0008043347609694026
Beta_abs__AF7,0.0008027757866810999
Gamma_abs__O1,0.0008015767095013109
Theta_abs__C1,0.0008014984757517778
Beta_abs__F8,0.0008013557864441988
Alpha_abs__C6,0.0008003630822052887
Theta_var_env__Fz,0.0008002005075768889
Gamma_abs__CPz,0.0007998937712503087
Beta_rel__F6,0.0007974787415050572
Beta_abs__O1,0.0007970380103207254
Theta_cv_env__Fp1,0.0007959571463024695
Beta_abs__Pz,0.0007956541216026392
Theta_cv_env__Fp2,0.0007938795214876639
Alpha_mean_env__FC1,0.0007938094464595073
Alpha_var_env__AF4,0.0007926166909927565
Alpha_mean_env__Fp2,0.000792300152309694
Beta_rel__C5,0.0007906840883335095
Alpha_sync__PO4,0.0007898527514762103
Delta_abs__Fp1,0.0007895425514925174
Theta_abs__Fp2,0.0007894310204551362
Delta_rel__Fp1,0.0007891975196067002
Alpha_sync__Fz,0.0007882885314988985
Alpha_var_env__C6,0.0007881022431020889
Beta_abs__O2,0.0007873802271760259
Theta_abs__O2,0.0007873062560553854
Gamma_abs__POz,0.0007869773209004823
Theta_var_env__PO8,0.000786716537557744
Alpha_abs__FC1,0.0007853744295469203
Alpha_abs__TP8,0.0007851511740388838
Alpha_sync__CPz,0.0007839789081332794
Beta_rel__F2,0.0007827577485019618
Delta_abs__Fp2,0.0007824603137476227
Alpha_abs__F3,0.0007808226098285347
Beta_abs__CP6,0.0007786447729639426
Beta_abs__T8,0.0007774179101947934
Alpha_abs__FC3,0.0007772352991585059
Theta_mean_env__AF8,0.0007751962681231398
Beta_abs__FT7,0.0007749906556644921
Beta_abs__F6,0.0007743324890219254
Theta_mean_env__CP6,0.0007742767074404932
Alpha_sync__F8,0.000773854221122757
Theta_abs__AF8,0.0007723373194982455
Alpha_sync__P3,0.0007718925803507546
Beta_abs__FT8,0.0007718861511347596
Theta_mean_env__FC2,0.000771389105762534
Theta_mean_env__AF4,0.0007712043416188485
Gamma_abs__F5,0.0007710906083448933
Theta_mean_env__Fp1,0.0007692640771121661
Theta_mean_env__Fpz,0.0007655995055783928
Theta_mean_env__O2,0.0007642359009271025
Alpha_cv_env__Pz,0.0007635700412587156
Theta_mean_env__P6,0.0007619650376754712
Beta_rel__AF8,0.000761241617452174
Theta_abs__P8,0.0007608647119498083
Alpha_var_env__F2,0.000760101206178887
Theta_mean_env__CP2,0.0007592474776694328
Alpha_abs__FCz,0.0007585546439838996
Alpha_var_env__C2,0.0007581264550712159
Theta_mean_env__T7,0.0007575849284571451
Theta_abs__FT8,0.0007571779043725796
Theta_abs__P5,0.0007560970044598769
Beta_abs__C6,0.0007551014574553996
Theta_mean_env__F4,0.0007550782819531042
Alpha_sync__FC4,0.000754702413836814
Theta_abs__PO4,0.0007541889224768718
Beta_rel__P4,0.000753518480117806
Alpha_var_env__AF8,0.0007535108234613952
Alpha_abs__CP4,0.0007527758369033535
Theta_bursts__Fpz,0.0007526380564597784
Theta_mean_env__CP5,0.0007521227274759502
Alpha_abs__PO8,0.000751208050095191
Gamma_abs__CP2,0.000748412969156776
Alpha_sync__Oz,0.0007470633684488163
Alpha_sync__F1,0.0007434536431503795
Theta_var_env__Cz,0.0007429513397909425
Alpha_abs__F4,0.0007425355128305526
Alpha_sync__Pz,0.000742190704631509
Alpha_abs__Fpz,0.000741191197624053
Theta_var_env__P1,0.0007400268077295838
Alpha_abs__AF3,0.0007373523415802088
Theta_mean_env__FC3,0.0007373220534786707
Theta_bursts__Fp1,0.0007364374955316303
Beta_rel__TP7,0.0007360120474977033
Alpha_var_env__F7,0.0007338173269631688
Alpha_mean_env__FC5,0.0007328810649319192
Beta_abs__P8,0.0007313729286181158
Alpha_mean_env__CP4,0.0007308245623620343
Theta_abs__P2,0.0007303071392831534
Beta_rel__AF4,0.0007294858124723179
Gamma_rel__CP1,0.0007292473691071369
Theta_var_env__C1,0.0007291565649315976
Theta_mean_env__FC1,0.0007290021910628302
Alpha_abs__P6,0.0007287716825260158
Beta_rel__CP4,0.0007267037364344411
Beta_abs__T7,0.0007265614561384388
Delta_abs__AF3,0.0007262082858424315
Alpha_sync__Fp1,0.0007254596681577364
Theta_abs__P7,0.0007254521634722885
Beta_rel__F5,0.0007253346106075024
Gamma_rel__FCz,0.0007246938099522653
Theta_abs__CP2,0.0007244635151176223
Theta_abs__T8,0.000723845752933358
Theta_abs__FC6,0.000723634230699394
Theta_var_env__F1,0.0007230848905959022
Alpha_var_env__TP8,0.0007220583306843793
Alpha_var_env__T8,0.0007214738054507492
Alpha_cv_env__P1,0.0007196520663605644
Alpha_sync__Fp2,0.000719618633617861
Theta_rel__C3,0.0007187666514437599
Alpha_abs__TP7,0.0007180511526626944
Gamma_rel__AFz,0.0007179059540784028
Gamma_rel__TP8,0.0007165110079285146
Theta_rel__C5,0.0007157719596924107
Alpha_sync__FC3,0.0007143934506098874
Theta_abs__F8,0.000713981416354573
Alpha_sync__F7,0.0007134045964129396
Alpha_sync__C6,0.0007125667237629803
Theta_abs__FCz,0.0007124333550659877
Theta_abs__CP6,0.0007120771752608766
Theta_abs__TP8,0.0007119850683964233
Beta_rel__P10,0.0007119165291746586
Theta_mean_env__P3,0.0007117603808488054
Theta_abs__FC4,0.0007111475026363412
Alpha_cv_env__AF7,0.0007108096195208916
Theta_abs__Fpz,0.0007098798706619852
Theta_var_env__Pz,0.0007096745112587291
Alpha_sync__FC6,0.0007092310331358752
Theta_mean_env__Oz,0.0007082172364569465
Delta_abs__AFz,0.0007080438801870875
Theta_mean_env__Iz,0.0007080039139931066
Alpha_var_env__Fpz,0.0007074081263795424
Theta_abs__FC3,0.0007070226279104231
Beta_abs__P7,0.0007068902875912699
Gamma_rel__F3,0.0007064299001690178
Beta_abs__P9,0.0007057220748825754
Beta_rel__C6,0.0007040487905669909
Theta_mean_env__FC4,0.0007036002913247178
Alpha_cv_env__AF8,0.000703127859658966
Alpha_cv_env__CPz,0.0007020507456964225
Alpha_mean_env__AF7,0.0007006866629440157
Beta_abs__Oz,0.0006987376050210914
Alpha_mean_env__P6,0.0006975468448801738
Alpha_var_env__TP7,0.0006971827887639849
Alpha_abs__P4,0.0006971672149145663
Alpha_var_env__P6,0.0006969078989247893
Delta_rel__Fpz,0.0006960252904591901
Delta_abs__P4,0.0006958783661425827
Theta_mean_env__TP7,0.0006941051839195302
Theta_mean_env__AF3,0.0006936187754491981
Theta_bursts__AF7,0.0006933498132072191
Delta_abs__AF7,0.000692961443515666
Alpha_sync__Fpz,0.0006928677855241529
Alpha_var_env__Fp2,0.0006918448541776014
Theta_bursts__Fp2,0.0006915258424885254
