Condition,Accuracy,Precision,Recall,F1,ROC-AUC
Raw,0.674,0.6339066339066339,0.593103448275862,0.6128266033254157,0.714079951174855
ICA-cleaned,0.68,0.6566757493188011,0.5540229885057472,0.600997506234414,0.7169321533923304
