Feature family,Feature_count,Total_importance,Mean_importance_per_feature
Hjorth features,38,0.20846909974691477,0.005486028940708283
Band-power features,190,0.49931856855444995,0.0026279924660760523
Spectral summary features,38,0.07396623171693342,0.0019464797820245637
Entropy and complexity,57,0.05391942884181399,0.000945954891961649
Oscillatory-envelope dynamics,152,0.08476892872625853,0.0005576903205674903
Functional connectivity / synchrony,361,0.06759744879364364,0.00018725055067491314
Time-domain statistics,133,0.01196029361998565,8.992701969914022e-05
