Feature,Importance,Feature family
Fp2_HjorthMobility,0.014127086267114036,Hjorth features
T3_HjorthMobility,0.01412287859696727,Hjorth features
T3_Theta_Rel,0.013397122645213064,Band-power features
C3_Theta_Rel,0.01304665456498843,Band-power features
T4_HjorthMobility,0.012314465201856141,Hjorth features
T3_SpectralEntropy,0.012264844159265587,Entropy and complexity
O1_Theta_Rel,0.012230762264862917,Band-power features
O2_Theta_Rel,0.011283557536755525,Band-power features
T4_SpectralEntropy,0.011067947370512083,Entropy and complexity
T6_Theta_Rel,0.011007411690455689,Band-power features
P4_Theta_Rel,0.01089106755337931,Band-power features
Pz_Theta_Rel,0.010880773221379637,Band-power features
F4_Theta_Rel,0.010843408007267281,Band-power features
T3_Beta_Rel,0.01075049564562849,Band-power features
P3_Theta_Rel,0.010750461844934427,Band-power features
Fp2_Theta_Rel,0.010675238637139671,Band-power features
T3_HjorthComplexity,0.010647669524145536,Hjorth features
F7_HjorthMobility,0.010624252083622951,Hjorth features
T4_Theta_Rel,0.010596047804918116,Band-power features
T5_HjorthComplexity,0.010561804482367394,Hjorth features
T5_Theta_Rel,0.010543063277342262,Band-power features
T4_Beta_Rel,0.010503493962349569,Band-power features
C3_HjorthComplexity,0.010439669865192397,Hjorth features
F3_Delta_Rel,0.010401712992986567,Band-power features
F3_HjorthComplexity,0.010348885657953989,Hjorth features
P3_HjorthComplexity,0.01031365125932348,Hjorth features
T3_Delta_Rel,0.010289516050136347,Band-power features
T6_Gamma_Rel,0.01023586843780044,Band-power features
T4_HjorthComplexity,0.010189203610698336,Hjorth features
C4_Theta_Rel,0.010181504673834437,Band-power features
Fp2_HjorthComplexity,0.010105264286483806,Hjorth features
F3_HjorthMobility,0.010023334828477922,Hjorth features
Cz_HjorthComplexity,0.010011277967347602,Hjorth features
O1_HjorthComplexity,0.010006271941030329,Hjorth features
Fz_Alpha_Rel,0.01000588618962174,Band-power features
Fp1_Delta_Rel,0.009959011251930949,Band-power features
Fp2_Delta_Rel,0.009903551726244336,Band-power features
