Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.615,0.5576036866359447,0.5563218390804597,0.5569620253164557,0.6537056250635743,W2_5s_late,Raw,Baseline,Full Feature Set,665
Logistic Regression,0.571,0.5069767441860465,0.5011494252873563,0.5040462427745664,0.6001383379106907,W2_5s_late,Raw,Baseline,Full Feature Set,665
SVM,0.601,0.5424528301886793,0.5287356321839081,0.5355064027939465,0.6469535143932458,W2_5s_late,Raw,Feature Family (Omit),Omit Time-Domain,361
Logistic Regression,0.602,0.54292343387471,0.5379310344827586,0.5404157043879908,0.6343973146170278,W2_5s_late,Raw,Feature Family (Omit),Omit Time-Domain,361
SVM,0.613,0.5563380281690141,0.5448275862068965,0.5505226480836237,0.6501434238632897,W2_5s_late,Raw,Feature Family (Omit),Omit Hjorth,608
Logistic Regression,0.564,0.4988662131519274,0.5057471264367817,0.502283105022831,0.572613162445326,W2_5s_late,Raw,Feature Family (Omit),Omit Hjorth,608
SVM,0.597,0.5349344978165939,0.5632183908045977,0.5487122060470325,0.6329630759841318,W2_5s_late,Raw,Feature Family (Omit),Omit Spectral,418
Logistic Regression,0.594,0.5297741273100616,0.593103448275862,0.559652928416486,0.6168975689146577,W2_5s_late,Raw,Feature Family (Omit),Omit Spectral,418
SVM,0.618,0.5614849187935035,0.5563218390804597,0.558891454965358,0.6527047095921066,W2_5s_late,Raw,Feature Family (Omit),Omit Entropy,608
Logistic Regression,0.577,0.514218009478673,0.49885057471264366,0.5064177362893816,0.5925867154918116,W2_5s_late,Raw,Feature Family (Omit),Omit Entropy,608
SVM,0.584,0.5210643015521065,0.5402298850574713,0.5304740406320542,0.6111626487641135,W2_5s_late,Raw,Feature Family (Isolate),Only Time-Domain,304
Logistic Regression,0.559,0.4933920704845815,0.5149425287356322,0.5039370078740157,0.5643373003763604,W2_5s_late,Raw,Feature Family (Isolate),Only Time-Domain,304
SVM,0.591,0.5270833333333333,0.5816091954022988,0.5530054644808743,0.6237758112094396,W2_5s_late,Raw,Feature Family (Isolate),Only Hjorth,57
Logistic Regression,0.567,0.50199203187251,0.5793103448275863,0.5378868729989328,0.5907598413182789,W2_5s_late,Raw,Feature Family (Isolate),Only Hjorth,57
SVM,0.59,0.5299760191846523,0.5080459770114942,0.5187793427230047,0.6416437798799715,W2_5s_late,Raw,Feature Family (Isolate),Only Spectral,247
Logistic Regression,0.579,0.5159090909090909,0.5218390804597701,0.5188571428571429,0.6098952293764622,W2_5s_late,Raw,Feature Family (Isolate),Only Spectral,247
SVM,0.566,0.5009633911368016,0.5977011494252874,0.5450733752620545,0.6061478995015767,W2_5s_late,Raw,Feature Family (Isolate),Only Entropy,57
Logistic Regression,0.569,0.5038910505836576,0.5954022988505747,0.5458377239199157,0.6064978130403825,W2_5s_late,Raw,Feature Family (Isolate),Only Entropy,57
SVM,0.631,0.5793269230769231,0.5540229885057472,0.5663924794359577,0.6554999491404739,W2_5s_late,Raw,Scalp Region (Omit),Omit Anterior (Frontal),420
Logistic Regression,0.612,0.5530474040632054,0.5632183908045977,0.5580865603644647,0.638754958803784,W2_5s_late,Raw,Scalp Region (Omit),Omit Anterior (Frontal),420
SVM,0.601,0.5403587443946188,0.5540229885057472,0.547105561861521,0.6251937747940189,W2_5s_late,Raw,Scalp Region (Omit),Omit Central & Temporal,420
Logistic Regression,0.566,0.5010615711252654,0.542528735632184,0.5209713024282561,0.5792981385413488,W2_5s_late,Raw,Scalp Region (Omit),Omit Central & Temporal,420
SVM,0.62,0.5626423690205011,0.5678160919540229,0.5652173913043478,0.660368222968162,W2_5s_late,Raw,Scalp Region (Omit),Omit Posterior,490
Logistic Regression,0.583,0.5203619909502263,0.5287356321839081,0.5245153933865451,0.617202726070593,W2_5s_late,Raw,Scalp Region (Omit),Omit Posterior,490
SVM,0.586,0.5221052631578947,0.5701149425287356,0.545054945054945,0.622679279829112,W2_5s_late,Raw,Scalp Region (Isolate),Only Anterior (Frontal),245
Logistic Regression,0.579,0.5146443514644351,0.5655172413793104,0.5388828039430449,0.6054806225205981,W2_5s_late,Raw,Scalp Region (Isolate),Only Anterior (Frontal),245
SVM,0.627,0.5727699530516432,0.5609195402298851,0.5667828106852497,0.6634360695758316,W2_5s_late,Raw,Scalp Region (Isolate),Only Central & Temporal,245
Logistic Regression,0.607,0.541501976284585,0.6298850574712643,0.5823591923485654,0.6360980571661072,W2_5s_late,Raw,Scalp Region (Isolate),Only Central & Temporal,245
SVM,0.606,0.5506172839506173,0.5126436781609195,0.530952380952381,0.6177072525684061,W2_5s_late,Raw,Scalp Region (Isolate),Only Posterior,175
Logistic Regression,0.55,0.48490945674044267,0.5540229885057472,0.5171673819742489,0.5835825450106805,W2_5s_late,Raw,Scalp Region (Isolate),Only Posterior,175
SVM,0.616,0.5605700712589073,0.542528735632184,0.5514018691588785,0.634895737971722,W2_5s_late,ICA_Cleaned,Baseline,Full Feature Set,665
Logistic Regression,0.571,0.5078125,0.4482758620689655,0.47619047619047616,0.562604007730648,W2_5s_late,ICA_Cleaned,Baseline,Full Feature Set,665
SVM,0.611,0.5539906103286385,0.542528735632184,0.5481997677119629,0.6368935001525785,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Time-Domain,361
Logistic Regression,0.601,0.5483870967741935,0.4689655172413793,0.5055762081784386,0.5758559658223985,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Time-Domain,361
SVM,0.621,0.5673076923076923,0.542528735632184,0.554641598119859,0.6344278303326213,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Hjorth,608
Logistic Regression,0.563,0.49747474747474746,0.4528735632183908,0.4741275571600481,0.5635927169158783,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Hjorth,608
SVM,0.59,0.5275938189845475,0.5494252873563218,0.5382882882882883,0.6088332824738074,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Spectral,418
Logistic Regression,0.551,0.484375,0.49885057471264366,0.49150622876557193,0.543688332824738,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Spectral,418
SVM,0.618,0.5641646489104116,0.535632183908046,0.5495283018867925,0.6326864001627505,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Entropy,608
Logistic Regression,0.565,0.5,0.4413793103448276,0.46886446886446886,0.5503204150137321,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Entropy,608
SVM,0.595,0.5316455696202531,0.5793103448275863,0.5544554455445545,0.605494863187875,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Time-Domain,304
Logistic Regression,0.572,0.5074626865671642,0.5471264367816092,0.5265486725663717,0.5868619672464652,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Time-Domain,304
SVM,0.566,0.5011337868480725,0.5080459770114942,0.5045662100456622,0.5828196521208422,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Hjorth,57
Logistic Regression,0.524,0.4605009633911368,0.5494252873563218,0.5010482180293501,0.5598494558030719,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Hjorth,57
SVM,0.597,0.5384615384615384,0.5149425287356322,0.5264394829612221,0.6272932560268538,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Spectral,247
Logistic Regression,0.612,0.5535307517084282,0.5586206896551724,0.5560640732265446,0.608023598820059,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Spectral,247
SVM,0.547,0.48060344827586204,0.5126436781609195,0.4961067853170189,0.5680276675821381,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Entropy,57
Logistic Regression,0.577,0.5133928571428571,0.5287356321839081,0.5209513023782559,0.6161896043128878,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Entropy,57
SVM,0.612,0.5571776155717761,0.5264367816091954,0.541371158392435,0.6339843352659953,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Anterior (Frontal),420
Logistic Regression,0.575,0.5120772946859904,0.48735632183908045,0.4994110718492344,0.5790906316753128,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Anterior (Frontal),420
SVM,0.608,0.5505882352941176,0.5379310344827586,0.5441860465116279,0.6140779167938155,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Central & Temporal,420
Logistic Regression,0.531,0.46336206896551724,0.4942528735632184,0.4783092324805339,0.5401769911504424,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Central & Temporal,420
SVM,0.621,0.5676328502415459,0.5402298850574713,0.5535924617196702,0.6351825856983013,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Posterior,490
Logistic Regression,0.559,0.49318181818181817,0.49885057471264366,0.496,0.5611799410029499,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Posterior,490
SVM,0.586,0.5250596658711217,0.5057471264367817,0.5152224824355972,0.5921472891872648,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Anterior (Frontal),245
Logistic Regression,0.552,0.48402948402948404,0.4528735632183908,0.4679334916864608,0.5510080358051064,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Anterior (Frontal),245
SVM,0.617,0.5625,0.5379310344827586,0.5499412455934195,0.6465710507578071,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Central & Temporal,245
Logistic Regression,0.569,0.5040485829959515,0.5724137931034483,0.5360602798708288,0.5949018411148408,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Central & Temporal,245
SVM,0.588,0.5286783042394015,0.48735632183908045,0.507177033492823,0.6053789034686197,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Posterior,175
Logistic Regression,0.542,0.47784200385356457,0.5701149425287356,0.519916142557652,0.5583969077408198,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Posterior,175
SVM,0.5863333333333334,0.5246723207401697,0.521455938697318,0.5230591852421215,0.610960679935352,Analysis_Window,Raw,Baseline (Band),Full Band Feature Set,361
Logistic Regression,0.5675,0.5026032627559875,0.5547892720306513,0.52740848661446,0.5965356751319523,Analysis_Window,Raw,Baseline (Band),Full Band Feature Set,361
SVM,0.5841666666666666,0.5221068819684737,0.5203065134099617,0.521205142966801,0.6148638660021022,Analysis_Window,Raw,Frequency Band (Omit),Omit Delta,323
Logistic Regression,0.5683333333333334,0.5034129692832765,0.5651340996168582,0.5324909747292419,0.5943735801715662,Analysis_Window,Raw,Frequency Band (Omit),Omit Delta,323
SVM,0.58,0.515878616796048,0.5601532567049808,0.5371050698016164,0.6052739068027442,Analysis_Window,Raw,Frequency Band (Omit),Omit Theta,247
Logistic Regression,0.5825,0.5182228392919125,0.5720306513409962,0.5437989437260973,0.6099801082742798,Analysis_Window,Raw,Frequency Band (Omit),Omit Theta,247
SVM,0.5871666666666666,0.5252180508153205,0.5306513409961686,0.5279207165999619,0.6123299313961506,Analysis_Window,Raw,Frequency Band (Omit),Omit Alpha,228
Logistic Regression,0.5796666666666667,0.5149761742682096,0.5796934865900383,0.5454217736121125,0.6049898846053866,Analysis_Window,Raw,Frequency Band (Omit),Omit Alpha,228
SVM,0.5803333333333334,0.5176110260336907,0.518007662835249,0.5178092684795098,0.6053583336158863,Analysis_Window,Raw,Frequency Band (Omit),Omit Beta,323
Logistic Regression,0.5666666666666667,0.5016903313049358,0.5685823754789272,0.5330459770114943,0.5940857152544672,Analysis_Window,Raw,Frequency Band (Omit),Omit Beta,323
SVM,0.5788333333333333,0.5156544700113165,0.5237547892720307,0.5196730659570424,0.6037198657308515,Analysis_Window,Raw,Frequency Band (Omit),Omit Gamma,323
Logistic Regression,0.5595,0.4944834503510532,0.5666666666666667,0.5281199785752544,0.5846603148769765,Analysis_Window,Raw,Frequency Band (Omit),Omit Gamma,323
SVM,0.5381666666666667,0.47284991568296797,0.5371647509578544,0.5029596412556053,0.5603395155912703,Analysis_Window,Raw,Frequency Band (Isolate),Only Delta,38
Logistic Regression,0.5476666666666666,0.4828834759710336,0.5620689655172414,0.5194759206798867,0.5694914047401078,Analysis_Window,Raw,Frequency Band (Isolate),Only Delta,38
SVM,0.5966666666666667,0.5403225806451613,0.4877394636015326,0.5126862666129682,0.5950138450931859,Analysis_Window,Raw,Frequency Band (Isolate),Only Theta,114
Logistic Regression,0.5586666666666666,0.4934707903780069,0.550191570881226,0.5202898550724637,0.5797393731845975,Analysis_Window,Raw,Frequency Band (Isolate),Only Theta,114
SVM,0.5388333333333334,0.47466924814456274,0.5636015325670498,0.5153266771763881,0.5513435956554663,Analysis_Window,Raw,Frequency Band (Isolate),Only Alpha,133
Logistic Regression,0.5486666666666666,0.48444444444444446,0.5846743295019157,0.5298611111111111,0.581850834661332,Analysis_Window,Raw,Frequency Band (Isolate),Only Alpha,133
SVM,0.5616666666666666,0.49687304565353346,0.6088122605363985,0.5471763085399449,0.5921978096497473,Analysis_Window,Raw,Frequency Band (Isolate),Only Beta,38
Logistic Regression,0.5428333333333333,0.48127288087862574,0.6547892720306513,0.5547800681707515,0.5670808892505566,Analysis_Window,Raw,Frequency Band (Isolate),Only Beta,38
SVM,0.5526666666666666,0.48786089238845143,0.5697318007662835,0.5256274301873454,0.5753079261745725,Analysis_Window,Raw,Frequency Band (Isolate),Only Gamma,38
Logistic Regression,0.5591666666666667,0.494260413250246,0.5773946360153257,0.532602933380456,0.5982379999773958,Analysis_Window,Raw,Frequency Band (Isolate),Only Gamma,38
SVM,0.5825,0.5193941632803842,0.5386973180076629,0.528869663343991,0.6106800483730603,Analysis_Window,ICA_Cleaned,Baseline (Band),Full Band Feature Set,361
Logistic Regression,0.5746666666666667,0.5105685131195336,0.5367816091954023,0.5233470302577512,0.5919591089411047,Analysis_Window,ICA_Cleaned,Baseline (Band),Full Band Feature Set,361
SVM,0.5885,0.5261401557285873,0.5436781609195402,0.5347654041831543,0.6145541879994123,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Delta,323
Logistic Regression,0.5666666666666667,0.5017618040873855,0.5455938697318008,0.5227606461086637,0.5788642502740764,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Delta,323
SVM,0.59,0.5269010043041606,0.5628352490421455,0.5442756576509818,0.6109097073881938,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Theta,247
Logistic Regression,0.5888333333333333,0.5246977547495683,0.581992337164751,0.5518619436875568,0.6050336237977374,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Theta,247
SVM,0.5918333333333333,0.5298701298701298,0.5471264367816092,0.5383600377002827,0.609252817052634,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Alpha,228
Logistic Regression,0.5633333333333334,0.49826509368494104,0.550191570881226,0.5229424617625638,0.5754107754382396,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Alpha,228
SVM,0.584,0.5211738484398217,0.5375478927203066,0.5292342512259525,0.6111993806439946,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Beta,323
Logistic Regression,0.5741666666666667,0.5101140125045973,0.5314176245210728,0.5205479452054794,0.5944283954384657,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Beta,323
SVM,0.5791666666666667,0.5179400590966653,0.47011494252873565,0.4928700542277566,0.6058641033465568,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Gamma,323
Logistic Regression,0.569,0.5042613636363636,0.5440613026819924,0.523405823811279,0.580111325851332,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Gamma,323
SVM,0.524,0.45687237026647964,0.4992337164750958,0.47711461003295497,0.5386722273081749,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Delta,38
Logistic Regression,0.5551666666666667,0.4906438312718046,0.59272030651341,0.5368731563421829,0.5846772680523062,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Delta,38
SVM,0.5986666666666667,0.5477767265846736,0.4436781609195402,0.49026248941574935,0.6197793826783757,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Theta,114
Logistic Regression,0.5826666666666667,0.5191335740072203,0.5509578544061303,0.5345724907063197,0.606253009188621,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Theta,114
SVM,0.5633333333333334,0.49818709209572154,0.5264367816091954,0.5119225037257824,0.5839222866442885,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Alpha,133
Logistic Regression,0.5736666666666667,0.5086608927381745,0.5850574712643678,0.5441910192444761,0.6080006555227794,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Alpha,133
SVM,0.572,0.5062166962699822,0.6551724137931034,0.5711422845691383,0.6085380146701478,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Beta,38
Logistic Regression,0.5643333333333334,0.49943374858437145,0.6758620689655173,0.574405731032237,0.6076710857943692,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Beta,38
SVM,0.5443333333333333,0.47926421404682273,0.5490421455938698,0.5117857142857143,0.5550657218096949,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Gamma,38
Logistic Regression,0.5485,0.4843996218090135,0.5888888888888889,0.5315580148711742,0.5925411679607591,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Gamma,38
