Feature,Importance,Feature family
PO8_Alpha_Rel,0.004871830359895232,Band-power features
F3_RMS,0.00487176977945281,Time-domain statistics
C3_RMS,0.004866301710486833,Time-domain statistics
O2_Alpha_Rel,0.004843177008247229,Band-power features
C2_RMS,0.004833878624095966,Time-domain statistics
Fpz_HjorthComplexity,0.004831221069136369,Hjorth features
AFz_RMS,0.004830798423979046,Time-domain statistics
FC4_Alpha_Rel,0.004787873245080919,Band-power features
FC4_Energy,0.004773117421573285,Time-domain statistics
CP3_Alpha_Rel,0.0047587310550237,Band-power features
Cz_RMS,0.004748084984028032,Time-domain statistics
FC2_Alpha_Mean,0.004744768040223758,Oscillatory-envelope dynamics
FC5_Alpha_Rel,0.00474349802670108,Band-power features
F4_RMS,0.004743170815898733,Time-domain statistics
C3_Energy,0.004737779397454275,Time-domain statistics
FC1_RMS,0.004701028248246772,Time-domain statistics
FC3_RMS,0.00466586978783626,Time-domain statistics
F1_RMS,0.004665178095019403,Time-domain statistics
F3_Energy,0.004658852720784075,Time-domain statistics
AF4_HjorthComplexity,0.004646994193939842,Hjorth features
C1_Energy,0.004621689692990205,Time-domain statistics
FCz_Alpha_Mean,0.004621336142646382,Oscillatory-envelope dynamics
FC2_Peak2Peak,0.004620200903089073,Time-domain statistics
C4_Alpha_Var,0.004609856930739835,Oscillatory-envelope dynamics
F4_Alpha_Rel,0.004607337844092323,Band-power features
Fz_Energy,0.004607085954668165,Time-domain statistics
C1_Peak2Peak,0.004571168514365309,Time-domain statistics
F6_Alpha_Rel,0.004550297589087518,Band-power features
Cz_Energy,0.004534654666905672,Time-domain statistics
FC3_Energy,0.004509081521190287,Time-domain statistics
Fz_Alpha_Rel,0.004509041931788864,Band-power features
CP2_Alpha_Abs,0.004503585718356824,Band-power features
Cz_Peak2Peak,0.004503191259975791,Time-domain statistics
F3_Alpha_Mean,0.0045018544373959845,Oscillatory-envelope dynamics
FCz_Energy,0.004493466153456227,Time-domain statistics
FC6_Alpha_Rel,0.004490034256156059,Band-power features
F1_Energy,0.004454494647939856,Time-domain statistics
TP8_Alpha_Rel,0.004418242464484797,Band-power features
FC1_Alpha_Rel,0.004385887074904686,Band-power features
FCz_Peak2Peak,0.004382366746764146,Time-domain statistics
FC3_Variance,0.004379386533276188,Time-domain statistics
P8_Alpha_Mean,0.004358524637684757,Oscillatory-envelope dynamics
C3_Alpha_Rel,0.004344663422278488,Band-power features
F2_Alpha_Rel,0.0043283614840966995,Band-power features
FC3_Alpha_Rel,0.004327452772940723,Band-power features
P8_Alpha_Rel,0.004318911287728457,Band-power features
AF4_Alpha_Mean,0.004318830885508658,Oscillatory-envelope dynamics
AF8_Alpha_Rel,0.004318487616324738,Band-power features
Fp2_Alpha_Rel,0.00429483011075607,Band-power features
C2_Energy,0.004288383218312298,Time-domain statistics
F2_Alpha_Mean,0.004275047637805594,Oscillatory-envelope dynamics
T8_Alpha_Mean,0.004272265261806196,Oscillatory-envelope dynamics
FC2_Variance,0.004269561950866648,Time-domain statistics
C2_Peak2Peak,0.004268467670327267,Time-domain statistics
