Feature family,Feature_count,Total_importance,Mean_importance_per_feature
Band-power features,640,0.41504738667053714,0.0006485115416727143
Hjorth features,128,0.07026820394200074,0.0005489703432968808
Time-domain statistics,448,0.22990454844476121,0.0005131797956356277
Oscillatory-envelope dynamics,512,0.2125595467737716,0.00041515536479252264
Entropy and complexity,192,0.040300075278223074,0.00020989622540741184
Functional connectivity / synchrony,4096,0.03192023889070625,7.79302707292633e-06
Spectral summary features,128,0.0,0.0
